dataset,level,unit,year,area_or_district_or_taluk,crop,value,source_resource_id
maize_irrigated_area,district,hectares,2022-2023,Bagalkote,Maize,68315,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Ballari,Maize,17808,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Belagavi,Maize,149019,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Bengaluru Rural,Maize,598,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Bengaluru South,Maize,3743,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Bengaluru Urban,Maize,630,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Bidar,Maize,519,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Chamarajanagar,Maize,31000,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Chikkaballapura,Maize,13039,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Chikkamagaluru,Maize,2649,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Chitradurga,Maize,37248,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Dakshina Kannada,Maize,,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Davanagere,Maize,18872,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Dharwad,Maize,13594,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Gadag,Maize,37886,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Hassan,Maize,17705,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Haveri,Maize,108234,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Kalaburagi,Maize,735,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Kodagu,Maize,,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Kolar,Maize,3777,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Koppal,Maize,41595,0fb99c18-a1f7-46f0-b40d-ddffca021319
maize_irrigated_area,district,hectares,2022-2023,Mandya,Maize,4466,0fb99c18-a1f7-46f0-b40d-ddffca021319
