district,measure,source,subsource,source_label,area_ha
Bagalkote,Gross Irrigated Area,Canal,Government,Canal (Government),27905.0
Bagalkote,Gross Irrigated Area,Canal,Private,Canal (Private),
Bagalkote,Gross Irrigated Area,Other Source,Other Source,Other Source,112179.0
Bagalkote,Gross Irrigated Area,Tank,Tank,Tank,904.0
Bagalkote,Gross Irrigated Area,Well,Other Well,Open/Dug Well,3920.0
Bagalkote,Gross Irrigated Area,Well,Tubewell,Borewell/Tubewell,292468.0
Bagalkote,Net Irrigated Area,Canal,Government,Canal (Government),27905.0
Bagalkote,Net Irrigated Area,Canal,Private,Canal (Private),
Bagalkote,Net Irrigated Area,Other Source,Other Source,Other Source,95504.0
Bagalkote,Net Irrigated Area,Tank,Tank,Tank,904.0
Bagalkote,Net Irrigated Area,Well,Other Well,Open/Dug Well,3273.0
Bagalkote,Net Irrigated Area,Well,Tubewell,Borewell/Tubewell,229545.0
Ballari,Gross Irrigated Area,Canal,Government,Canal (Government),137288.0
Ballari,Gross Irrigated Area,Canal,Private,Canal (Private),
Ballari,Gross Irrigated Area,Other Source,Other Source,Other Source,77379.0
Ballari,Gross Irrigated Area,Tank,Tank,Tank,574.0
Ballari,Gross Irrigated Area,Well,Other Well,Open/Dug Well,676.0
Ballari,Gross Irrigated Area,Well,Tubewell,Borewell/Tubewell,52854.0
Ballari,Net Irrigated Area,Canal,Government,Canal (Government),94427.0
Ballari,Net Irrigated Area,Canal,Private,Canal (Private),
Ballari,Net Irrigated Area,Other Source,Other Source,Other Source,39044.0
Ballari,Net Irrigated Area,Tank,Tank,Tank,570.0
Ballari,Net Irrigated Area,Well,Other Well,Open/Dug Well,391.0
Ballari,Net Irrigated Area,Well,Tubewell,Borewell/Tubewell,33676.0
Belagavi,Gross Irrigated Area,Canal,Government,Canal (Government),102690.0
Belagavi,Gross Irrigated Area,Canal,Private,Canal (Private),
Belagavi,Gross Irrigated Area,Other Source,Other Source,Other Source,208167.0
Belagavi,Gross Irrigated Area,Tank,Tank,Tank,885.0
Belagavi,Gross Irrigated Area,Well,Other Well,Open/Dug Well,255557.0
Belagavi,Gross Irrigated Area,Well,Tubewell,Borewell/Tubewell,315829.0
Belagavi,Net Irrigated Area,Canal,Government,Canal (Government),63195.0
Belagavi,Net Irrigated Area,Canal,Private,Canal (Private),
Belagavi,Net Irrigated Area,Other Source,Other Source,Other Source,143281.0
Belagavi,Net Irrigated Area,Tank,Tank,Tank,766.0
Belagavi,Net Irrigated Area,Well,Other Well,Open/Dug Well,178531.0
Belagavi,Net Irrigated Area,Well,Tubewell,Borewell/Tubewell,232968.0
Bengaluru Rural,Gross Irrigated Area,Canal,Government,Canal (Government),
