district,Canal (Government),Canal (Private),Tank,Borewell/Tubewell,Open/Dug Well,Other Source,Total Net Irrigated (ha),Borewell share %,Canal share %
Belagavi,63195.0,0.0,766.0,232968.0,178531.0,143281.0,618741.0,37.7,10.2
Vijayapura,21433.0,0.0,1359.0,410499.0,0.0,15715.0,449006.0,91.4,4.8
Raichur,324734.0,0.0,10745.0,7728.0,1847.0,77829.0,422883.0,1.8,76.8
Bagalkote,27905.0,0.0,904.0,229545.0,3273.0,95504.0,357131.0,64.3,7.8
Tumakuru,0.0,0.0,929.0,329865.0,653.0,0.0,331447.0,99.5,0.0
Yadgir,110608.0,0.0,3944.0,16981.0,11785.0,70602.0,213920.0,7.9,51.7
Haveri,1844.0,0.0,2444.0,182445.0,0.0,16308.0,203041.0,89.9,0.9
Mandya,91396.0,0.0,11209.0,47476.0,38623.0,6234.0,194938.0,24.4,46.9
Koppal,53570.0,0.0,2709.0,121359.0,0.0,5876.0,183514.0,66.1,29.2
Davanagere,49094.0,0.0,1974.0,116433.0,0.0,10396.0,177897.0,65.4,27.6
Chitradurga,1059.0,0.0,145.0,169727.0,0.0,28.0,170959.0,99.3,0.6
Dakshina Kannada,0.0,0.0,0.0,104505.0,51332.0,12761.0,168598.0,62.0,0.0
Shivamogga,37531.0,0.0,29703.0,87593.0,8420.0,5212.0,168459.0,52.0,22.3
Ballari,94427.0,0.0,570.0,33676.0,391.0,39044.0,168108.0,20.0,56.2
Mysuru,70555.0,0.0,6469.0,88843.0,0.0,566.0,166433.0,53.4,42.4
Kalaburagi,3737.0,0.0,12450.0,22427.0,1371.0,89712.0,129697.0,17.3,2.9
Chikkamagaluru,7155.0,0.0,5455.0,89053.0,1829.0,14563.0,118055.0,75.4,6.1
Vijayanagara,11215.0,0.0,1505.0,88647.0,522.0,7424.0,109313.0,81.1,10.3
Hassan,42850.0,0.0,5848.0,59120.0,254.0,573.0,108645.0,54.4,39.4
Chamarajanagar,4845.0,0.0,252.0,97634.0,3370.0,53.0,106154.0,92.0,4.6
Gadag,37270.0,0.0,1175.0,29218.0,404.0,7313.0,75380.0,38.8,49.4
Uttara Kannada,41.0,0.0,266.0,23981.0,39993.0,4467.0,68748.0,34.9,0.1
Bidar,0.0,0.0,317.0,51101.0,15256.0,659.0,67333.0,75.9,0.0
Chikkaballapura,0.0,0.0,86.0,49548.0,0.0,1837.0,51471.0,96.3,0.0
Kolar,0.0,0.0,9.0,48966.0,0.0,41.0,49016.0,99.9,0.0
Udupi,0.0,0.0,1075.0,2676.0,37818.0,2172.0,43741.0,6.1,0.0
Dharwad,2893.0,0.0,234.0,33160.0,0.0,1837.0,38124.0,87.0,7.6
Bengaluru South,8.0,0.0,1310.0,35184.0,0.0,39.0,36541.0,96.3,0.0
Bengaluru Rural,0.0,0.0,0.0,27809.0,0.0,0.0,27809.0,100.0,0.0
Bengaluru Urban,0.0,0.0,0.0,10622.0,0.0,0.0,10622.0,100.0,0.0
Kodagu,1384.0,0.0,0.0,0.0,0.0,422.0,1806.0,0.0,76.6
