state,district,cattle,buffalo,goat,sheep,pig,poultry
Karnataka,BAGALKOTE,222823,234340,383926,622856,20458,1703285
Karnataka,BALLARI,343275,159107,298232,1272828,15395,1843975
Karnataka,BELAGAVI,549540,844171,701741,757679,21784,2648732
Karnataka,BENGALURU RURAL,170722,16924,95156,118788,14131,7145341
Karnataka,BENGALURU URBAN,153861,11168,62464,82873,28046,1302173
Karnataka,BIDAR,173634,125510,182854,85948,20838,734095
Karnataka,CHAMARAJANAGARA,249361,9918,144633,135321,1572,726104
Karnataka,CHIKKABALLAPURA,213815,26397,188392,613193,2481,2382658
Karnataka,CHIKKAMAGALURU,290007,34362,41040,97962,1423,2336685
Karnataka,CHITRADURGA,225603,113304,385058,1352087,2177,1741574
Karnataka,DAKSHINA KANNADA,250569,1832,32215,289,6359,2595523
Karnataka,DAVANGERE,237801,91896,79429,238367,2117,2505966
Karnataka,DHARWAD,172219,61245,74069,79869,4168,1460262
Karnataka,GADAG,136311,55798,191656,395899,14258,416130
Karnataka,HASSAN,548185,107971,129058,199387,1946,2353284
Karnataka,HAVERI,261060,85501,144969,313205,3347,384290
Karnataka,KALABURAGI,385580,73176,446200,112387,44221,382911
Karnataka,KODAGU,71684,5236,7603,650,8365,184597
Karnataka,KOLAR,209642,26520,93713,483892,5292,8607729
Karnataka,KOPPAL,231413,63467,172578,625367,8651,4008826
Karnataka,MANDYA,369986,109443,346430,347133,9408,2185469
Karnataka,MYSURU,492598,21682,208206,203463,7349,3095800
Karnataka,RAICHUR,245374,112420,282718,657633,16384,397976
Karnataka,RAMANAGARA,287502,19644,150130,127988,7102,2356885
Karnataka,SHIVAMOGGA,518653,120563,59719,42526,6160,2066027
Karnataka,TUMAKURU,431251,142047,427926,1290008,5956,1628178
Karnataka,UDUPI,254776,2408,2676,431,3289,1143010
Karnataka,UTTARA KANNADA,336312,73993,10655,8537,1193,557455
Karnataka,VIJAYAPURA,202111,177079,569098,347070,19462,273409
Karnataka,YADGIR,233336,57438,256848,437092,20504,326132
Tamil Nadu,Thiruvallur,282138,51239,243313,63236,1973,756033
Tamil Nadu,Chennai,25588,7789,12107,275,140,72694
Tamil Nadu,Kanchipuram,428458,41940,209468,118823,608,392043
Tamil Nadu,Vellore,582221,16130,305430,210317,2288,1866187
Tamil Nadu,Tiruvannamalai,739467,5114,248410,177712,5361,453915
Tamil Nadu,Villupuram,873822,8942,471451,216692,3662,1615305
Tamil Nadu,Salem,633437,48411,576380,336885,6519,5117756
Tamil Nadu,Namakkal,267796,63328,492711,101866,8583,48375945
Tamil Nadu,Erode,340426,87416,420691,197934,2025,6185870
Tamil Nadu,The Nilgiris,26095,2494,17585,2502,473,71834
Tamil Nadu,Dindigul,297004,27061,348868,172066,1560,4122258
Tamil Nadu,Karur,165036,26845,228249,263792,1397,1039118
Tamil Nadu,Tiruchirappalli,336903,8792,559063,136163,1280,1683616
Tamil Nadu,Perambalur,132472,1028,123719,31089,670,525684
Tamil Nadu,Ariyalur,161093,1831,250487,38061,1998,286423
Tamil Nadu,Cuddalore,353663,6031,341587,42675,8280,1054647
Tamil Nadu,Nagapattinam,251634,7093,486509,32554,426,564913
Tamil Nadu,Thiruvarur,200248,1212,290998,1279,551,370702
Tamil Nadu,Thanjavur,350527,3749,429251,25025,610,815455
Tamil Nadu,Pudukkottai,360299,3522,479440,133569,273,2199888
Tamil Nadu,Sivaganga,246623,885,339481,177058,845,1174770
Tamil Nadu,Madurai,262725,3873,270564,108429,323,768019
Tamil Nadu,Theni,110275,1423,95388,47699,819,618897
Tamil Nadu,Virudhunagar,206593,6200,505861,419017,1384,971527
Tamil Nadu,Ramanathapuram,88466,493,393956,293621,1589,618806
Tamil Nadu,Tuticorin,117605,4760,380917,184606,1601,703948
Tamil Nadu,Tirunelveli,298106,14560,379818,216036,3611,1785777
Tamil Nadu,Kanniyakumari,70371,1409,108901,224,1502,933352
Tamil Nadu,Dharmapuri,359788,25083,228386,89313,993,4552310
Tamil Nadu,Krishnagiri,395757,9843,192414,231303,2823,5974000
Tamil Nadu,Coimbatore,259917,3170,195781,99642,1160,8382014
Tamil Nadu,Tiruppur,294107,27129,261562,331028,1445,16727394
