village,taluk,district,lat,lon,coconut_acres
Abbinahole,Hiiriyur,Chitradurga,14.046283,76.746369,16.18
Adiralu,Hiiriyur,Chitradurga,14.047796,76.527332,21.52
Adivala,Hiiriyur,Chitradurga,13.907965,76.661898,1048.68
Aimangala,Hiiriyur,Chitradurga,14.09032,76.537326,19.52
Aluru,Hiiriyur,Chitradurga,13.946817,76.672137,520.12
Ambalagere,Hiiriyur,Chitradurga,14.043353,76.691641,146.2
Anesidri,Hiiriyur,Chitradurga,13.837365,76.714347,122.38
Arishinagundi,Hiiriyur,Chitradurga,13.723665,76.550275,132.28
Babburu,Hiiriyur,Chitradurga,13.963207,76.641359,792.15
Bagganadu,Hiiriyur,Chitradurga,13.865502,76.697813,110.22
Bagganadukaval,Hiiriyur,Chitradurga,13.867544,76.66685,559.17
Balenahalli,Hiiriyur,Chitradurga,14.020968,76.635338,71.45
Beerenahalli,Hiiriyur,Chitradurga,13.964543,76.539223,258.98
Benakanahalli,Hiiriyur,Chitradurga,14.041406,76.8427,10.0
Bharampura,Hiiriyur,Chitradurga,14.041392,76.492832,11.25
Bharmagiri,Hiiriyur,Chitradurga,13.930377,76.492433,155.68
Bidara Kere,Hiiriyur,Chitradurga,14.068154,76.714867,111.83
Bochapura,Hiiriyur,Chitradurga,13.963711,76.673895,76.23
Boranakunte,Hiiriyur,Chitradurga,13.905551,76.728289,36.2
Burujanaroppa,Hiiriyur,Chitradurga,14.117739,76.499884,9.8
Byadarahalli,Hiiriyur,Chitradurga,14.012789,76.707618,525.98
Byaramadu,Hiiriyur,Chitradurga,13.752174,76.596559,289.2
Challamadu,Hiiriyur,Chitradurga,13.879029,76.598996,130.05
Chikkasiddavvanahalli,Hiiriyur,Chitradurga,14.114999,76.460326,7.12
Chillahalli,Hiiriyur,Chitradurga,14.039751,76.773494,20.62
Devarakotta,Hiiriyur,Chitradurga,14.02186,76.729475,150.85
Dharmapura,Hiiriyur,Chitradurga,14.082589,76.87873,12.07
Dindavara,Hiiriyur,Chitradurga,13.802294,76.649788,121.0
Doddaghatta,Hiiriyur,Chitradurga,13.907323,76.567687,182.45
Ganjalagunte,Hiiriyur,Chitradurga,13.877832,76.62887,148.7
Gannaykanahalli,Hiiriyur,Chitradurga,14.014514,76.61471,29.7
Giddobanahalli,Hiiriyur,Chitradurga,14.046953,76.577782,4.12
Goguddu,Hiiriyur,Chitradurga,14.015595,76.474618,5.0
