village,lat,lon,crop_age_days,acreage,sown_est,date
Hiremoraba,14.4048,75.476768,54.0,3.3,2026-05-29,2026-07-22
Hiremoraba,14.41742,75.472272,68.0,4.5,2026-05-15,2026-07-22
Shiragambi,14.42257,75.471837,70.0,3.5,2026-05-13,2026-07-22
Hosahalli,14.441992,75.44238,68.0,6.5,2026-05-15,2026-07-22
Dudihalli,14.440043,75.412139,65.0,4.0,2026-05-18,2026-07-22
Dudihalli,14.44004,75.412145,63.0,2.5,2026-05-20,2026-07-22
Makari,14.435531,75.514238,,2.0,,2026-07-22
Makari,14.439536,75.513683,,3.0,,2026-07-22
Thimlapur,14.477194,75.508304,,3.0,,2026-07-22
Timalapur,14.488834,75.506325,,3.0,,2026-07-22
Guddadahosahalli,14.572577,75.493495,,3.0,,2026-07-22
Bisalahalli,14.583262,75.486604,,3.0,,2026-07-22
Hirebudihal,14.586554,75.484395,,3.0,,2026-07-22
Bisalahalli (Byadgi Rd),14.610604,75.488658,,3.0,,2026-07-22
Lakamaji Koppa (Byadgi Rd),14.622618,75.490007,,3.0,,2026-07-22
Haveri,14.627524,75.496694,,3.0,,2026-07-22
Lakamaji Koppa,14.632735,75.496659,,3.0,,2026-07-22
