vilcode11,village,taluk,parcels,farmers,extent_ha,irrigated_pct,village_area_ha,lat,lon
606097,Abbinahole,Hiriyur,136,105,298.7,83,1477,14.0496,76.7533
606065,Adiralu,Hiriyur,4,4,13.9,100,946,14.0597,76.5304
606177,Adivala,Hiriyur,9,7,22.6,100,1353,13.9103,76.6562
606159,Alur,Hiriyur,508,249,472.3,100,698,13.9441,76.6718
606095,Ambalagere,Hiriyur,223,159,369.6,92,1034,14.042,76.6953
606186,Anesidri,Hiriyur,35,29,97.9,77,1043,13.8375,76.7202
606194,Arsingundi,Hiriyur,27,23,98.7,89,2399,13.72,76.552
606060,Aymangala,Hiriyur,23,19,94.8,96,1815,14.1009,76.5394
606136,Babburu,Hiriyur,530,385,968.2,88,1808,13.9601,76.6401
606173,Bagganadu,Hiriyur,146,109,251.2,88,398,13.8659,76.6981
606174,Bagganadu Kaval,Hiriyur,157,136,314.9,100,2357,13.8834,76.6871
606086,Balenahalli,Hiriyur,10,10,28.0,100,717,14.0238,76.6377
606116,Bedarahalli,Hiriyur,111,100,349.6,92,1331,14.0214,76.7119
606120,Benakanahalli,Hiriyur,24,17,22.0,100,1293,14.0393,76.8352
606093,Bhagavathikere,Hiriyur,38,21,49.2,100,244,14.0799,76.7133
606130,Bharamagiri,Hiriyur,43,34,133.6,88,2105,13.9298,76.5071
606064,Bharamapura,Hiriyur,2,2,4.5,100,2598,14.0603,76.5001
606092,Bidarakere,Hiriyur,37,32,79.1,100,597,14.0632,76.7178
606083,Birenahalli,Hiriyur,26,18,43.6,92,1155,13.9582,76.5378
606138,Bochapura,Hiriyur,32,22,45.9,100,229,13.9625,76.6689
606170,Boranakunte,Hiriyur,65,42,144.1,100,633,13.9073,76.7311
606048,Burajinaroppa,Hiriyur,35,29,210.6,94,1315,14.1199,76.4968
606179,Chalamadu,Hiriyur,5,5,24.8,100,441,13.8864,76.5986
606046,Chikka Siddavvanahalli,Hiriyur,4,4,15.6,75,1766,14.1237,76.4605
606113,Chillahalli,Hiriyur,56,40,119.1,36,355,14.0426,76.7701
606115,Devarakotte,Hiriyur,32,28,70.5,94,835,14.0335,76.7301
606107,Dharmapura,Hiriyur,1,1,1.3,100,594,14.0727,76.8868
606119,Dharmapura,Hiriyur,210,132,302.6,100,1349,14.0838,76.8686
606108,Dharmapura,Hiriyur,21,19,66.0,100,442,14.0731,76.8637
606190,Dindavara,Hiriyur,37,30,128.4,100,1559,13.7958,76.6464
606142,Doddaghatta,Hiriyur,11,11,29.0,100,1119,13.9019,76.5683
606062,Elakanurahalli,Hiriyur,29,26,76.2,100,743,14.0627,76.4519
606098,Elegondanahalli,Hiriyur,22,21,85.3,86,278,14.0562,76.7663
606164,Elenadu,Hiriyur,11,7,19.2,100,732,13.9658,76.7083
606193,Elladakere,Hiriyur,40,31,98.9,98,5472,13.7807,76.5613
606057,Eraballi,Hiriyur,43,38,100.4,74,1877,14.1024,76.6389
606084,Erradakatte,Hiriyur,36,27,84.9,97,894,13.9815,76.5848
606178,Gajanlagunte,Hiriyur,8,8,26.9,100,927,13.8813,76.6296
606085,Gananaikanahalli,Hiriyur,55,48,124.5,100,1007,14.0072,76.6157
