vilcode11,village,taluk,parcels,farmers,extent_ha,irrigated_pct,village_area_ha,lat,lon
616663,Devipura,Arkalgud,1,1,1.5,0,110,12.7359,76.1613
616747,Hampapura,Arkalgud,1,1,0.4,0,303,12.5577,76.0519
616676,Hanagallu,Arkalgud,22,17,43.2,27,828,12.6443,76.1616
615777,Adihalli,Arsikere,441,250,199.0,3,323,13.1621,76.2518
615730,Adihalli,Arsikere,73,52,78.8,8,392,13.2944,76.3246
615775,Adihalli,Arsikere,107,65,50.4,28,97,13.1729,76.2569
615781,Adihalli,Arsikere,10,10,5.9,10,547,13.191,76.2703
615717,Aggunda,Arsikere,384,302,374.1,11,675,13.3257,76.2993
615527,Agrahara,Arsikere,508,244,173.7,13,340,13.4164,76.1528
615609,Ahamadpura,Arsikere,123,90,97.7,8,401,13.4835,76.2746
615742,Ajjanahalli,Arsikere,98,64,69.6,5,163,13.2649,76.3174
615820,Aladahalli,Arsikere,293,155,162.7,3,284,13.1385,76.3608
615591,Anandanahali,Arsikere,49,40,32.8,0,64,13.401,76.2524
615683,Annayikanahalli,Arsikere,372,214,251.1,23,626,13.2713,76.2166
615751,Annenahalli,Arsikere,199,84,102.4,41,249,13.2556,76.3522
615766,Appanahalli,Arsikere,42,23,31.0,2,184,13.1795,76.2174
615497,Arakere,Arsikere,356,257,305.0,16,968,13.3657,76.1302
615495,Arakere,Arsikere,145,82,108.6,46,219,13.376,76.1088
615569,Archalli,Arsikere,281,149,154.1,1,324,13.4581,76.2209
803173,Arsikere,Arsikere,523,328,295.8,5,653,13.3221,76.2589
615696,Arsikere,Arsikere,338,251,186.7,9,734,13.3092,76.2741
615467,Arsikere,Arsikere,79,59,49.6,42,89,13.2984,76.2783
615841,Arsikere,Arsikere,171,116,114.0,36,117,13.297,76.2548
615451,Athigudda Kaval,Arsikere,129,96,141.4,22,669,13.2735,76.0484
615802,Bachenanahalli,Arsikere,297,191,165.2,1,297,13.1953,76.3186
615818,Bagavalu,Arsikere,236,163,181.3,3,478,13.1282,76.3591
615767,Bageshapura,Arsikere,301,180,188.6,1,1069,13.1493,76.2289
615526,Bagilaghatta,Arsikere,519,273,309.6,11,395,13.4088,76.1533
