vilcode11,village,taluk,parcels,farmers,extent_ha,irrigated_pct,village_area_ha,lat,lon
613423,Attikuppe,Krishnarajpet,11,7,3.8,9,285,12.7917,76.4913
613528,Bommalapura,Krishnarajpet,4,3,2.2,75,103,12.5235,76.5436
613527,Chikanahalli,Krishnarajpet,6,5,7.1,50,240,12.5563,76.5801
613370,Dodda Tarahalli,Krishnarajpet,7,6,1.7,0,338,12.858,76.4234
613421,Gangenahalli,Krishnarajpet,26,19,13.1,15,145,12.7667,76.4905
613586,Honnenahalli,Krishnarajpet,5,5,5.4,0,597,12.6977,76.3617
613384,Ikanahalli,Krishnarajpet,2,2,0.6,0,701,12.8181,76.4453
613671,Kabulagerepura,Krishnarajpet,1,1,1.1,0,515,12.4988,76.5154
613403,Kallanakere,Krishnarajpet,13,10,4.7,0,380,12.7756,76.4643
613419,Kundur,Krishnarajpet,43,30,14.5,0,684,12.7718,76.4753
613418,Mangana,Krishnarajpet,20,16,12.6,5,104,12.7751,76.467
613420,Marenahalli,Krishnarajpet,41,38,29.3,17,225,12.7767,76.49
613425,Nagaraghatta,Krishnarajpet,20,18,13.5,65,342,12.8113,76.4948
613432,Sante Bachahalli,Krishnarajpet,11,10,16.2,0,742,12.818,76.5996
613385,Sasalu,Krishnarajpet,66,62,41.1,0,325,12.8108,76.4517
613462,Somenahalli,Krishnarajpet,8,7,4.1,0,311,12.7812,76.5968
613386,Yeladahalli,Krishnarajpet,31,21,13.7,0,338,12.8021,76.4683
614510,Abalavadi,Maddur,163,120,88.8,77,436,12.7155,76.9417
614589,Agaranahalli,Maddur,28,17,19.5,36,63,12.5964,77.0601
614608,Ajjalli,Maddur,198,128,119.7,15,353,12.5256,77.064
614555,Alamshettihalli,Maddur,120,92,107.7,30,258,12.6698,77.0782
614632,Albujanahalli,Maddur,71,63,59.6,38,330,12.4913,77.0488
614592,Aluru,Maddur,113,84,91.5,94,342,12.5758,77.0724
614614,Ambarahalli,Maddur,128,89,84.2,38,340,12.5178,76.979
614541,Ankanathpur,Maddur,409,299,283.6,12,358,12.7523,77.0207
614644,Annur,Maddur,100,88,67.7,29,536,12.4801,77.0504
614636,Arechakanahalli,Maddur,195,108,92.2,31,228,12.4693,77.0026
614556,Athagur,Maddur,508,335,327.7,57,833,12.6605,77.0725
614509,Avverahalli,Maddur,31,25,34.6,94,190,12.7258,76.9569
614626,Bannahalli,Maddur,121,97,93.5,93,387,12.4955,77.0903
614497,Bekkalale,Maddur,134,96,130.4,80,918,12.7749,76.9638
614494,Belare Koppalu,Maddur,14,13,10.8,50,315,12.78,76.9165
614535,Belaturu,Maddur,169,133,182.9,30,909,12.6321,76.9947
614531,Belaturu,Maddur,27,20,15.9,41,153,12.6435,76.997
614598,Bhimanakere,Maddur,125,92,111.8,91,393,12.5475,77.0975
614641,Bidarahalli,Maddur,108,91,72.6,90,214,12.4642,77.022
614518,Bidurukote,Maddur,119,89,91.7,11,513,12.6789,76.934
614646,Bopasandra,Maddur,487,281,269.1,81,513,12.4596,77.0791
614604,Borapura,Maddur,37,31,36.6,78,166,12.5358,77.0217
614590,Budakuppe,Maddur,211,129,160.7,100,220,12.587,77.0697
614638,Bujavalli,Maddur,344,213,204.0,36,391,12.4258,76.9802
614593,Byadarahalli,Maddur,67,60,39.5,72,364,12.5832,77.0946
614539,Byalagere,Maddur,213,160,182.4,17,344,12.7469,76.9975
614575,Chamanahalli,Maddur,31,26,22.2,74,628,12.611,77.0365
614594,Chandahalli,Maddur,3,3,1.7,0,14,12.5809,77.1134
614586,Channasandra,Maddur,89,69,47.8,100,149,12.5684,77.0442
614622,Chatradahosahalli,Maddur,98,73,47.5,79,327,12.5276,77.0414
614551,Chikkankanahalli,Maddur,58,44,27.6,50,333,12.7207,77.0203
614623,Chikkarasinakere,Maddur,333,232,175.4,87,639,12.5175,77.0486
614529,Chotnahalli,Maddur,67,53,45.8,63,255,12.6612,76.9661
614610,Chunchgalli,Maddur,14,14,16.0,7,131,12.5291,77.0796
614591,Dadaga,Maddur,116,82,32.4,97,147,12.5834,77.0885
614574,Deshahalli,Maddur,1,1,1.1,100,180,12.603,77.034
614521,Devasthana,Maddur,57,47,39.1,53,170,12.6844,76.9726
614550,Dodankarahalli,Maddur,8,7,6.9,75,478,12.7284,77.0082
614621,Dodd Arasinkre,Maddur,240,200,202.1,58,1895,12.5083,77.0207
614503,Doddahosagavi,Maddur,141,92,155.8,9,1145,12.7337,76.9277
614564,Donnikandoddi,Maddur,13,11,11.6,100,37,12.6208,77.0806
614548,Dundanahalli,Maddur,453,242,197.1,1,836,12.7379,77.0641
614618,Edaganahalli,Maddur,52,48,67.1,54,444,12.4653,76.9651
614584,Garavanahalli,Maddur,147,123,119.4,34,215,12.5729,77.0321
614583,Gejjalagere,Maddur,127,98,88.2,43,708,12.5756,77.0044
614637,Gopanahalli,Maddur,38,28,35.8,97,249,12.4573,76.9729
614633,Gudigere,Maddur,3,2,0.9,33,167,12.4698,77.0302
614520,Guluru,Maddur,508,268,298.9,20,658,12.683,76.9474
614600,Hagalahalli,Maddur,57,50,57.8,56,282,12.5549,77.0795
614652,Hagalahalli,Maddur,321,240,250.1,29,673,12.4677,77.1161
614499,Halehalli,Maddur,57,46,43.4,74,436,12.7586,76.9803
614612,Hallikere,Maddur,102,79,60.2,52,487,12.5304,77.0896
614559,Hanumanthapura,Maddur,207,148,132.2,77,132,12.6511,77.0631
614542,Harakanahalli,Maddur,371,251,192.1,70,350,12.7576,77.0314
614620,Harala,Maddur,20,14,9.9,0,195,12.495,76.994
614527,Haralahalli,Maddur,50,43,50.0,36,222,12.6542,77.0001
614505,Haralakere,Maddur,190,128,127.5,5,351,12.7358,76.9653
614627,Haravana,Maddur,166,102,97.3,40,703,12.5222,77.1133
614540,Hebbaralu,Maddur,53,45,37.4,6,526,12.7538,77.0156
614563,Hemmmanahalli,Maddur,600,425,458.6,18,383,12.6269,77.0587
614595,Honnalagere,Maddur,532,272,187.1,18,1062,12.565,77.0996
614651,Honnalagere,Maddur,145,112,116.7,83,437,12.4469,77.1163
614650,Honnayakanahalli,Maddur,235,166,170.1,15,471,12.4534,77.0965
614642,Hosahalli,Maddur,236,148,118.0,58,307,12.4513,77.0241
614561,Hosahalli,Maddur,160,125,108.8,47,217,12.6469,77.0907
614582,Hosahalli,Maddur,118,67,69.4,72,274,12.5873,77.01
614533,Hosakere,Maddur,97,83,53.3,49,863,12.6483,77.0208
614577,Hulaganahalli,Maddur,69,59,73.1,7,162,12.6219,77.0515
614605,Huligerepura,Maddur,68,50,46.6,12,418,12.5426,77.0394
614611,Hulikere,Maddur,71,59,49.4,32,291,12.5226,77.0855
614530,Hunagun,Maddur,1,1,0.1,100,78,12.6272,76.9763
614516,Hurugalavadi,Maddur,78,69,89.7,37,274,12.6951,76.9702
614513,Hurugalavadi,Maddur,285,195,162.7,99,297,12.7075,76.9853
614549,Huthogere,Maddur,82,58,39.3,100,623,12.7333,77.0306
614609,Kabbare,Maddur,144,122,150.6,6,267,12.5383,77.0787
614562,Kadalur,Maddur,352,264,268.6,75,866,12.6386,77.0769
614616,Kadlavagalu,Maddur,174,127,122.8,7,442,12.4843,76.9627
614639,Kadukottana,Maddur,168,119,99.5,21,716,12.4497,76.9937
614634,Karadakere,Maddur,287,206,151.4,37,459,12.4786,77.01
614631,Karakahalli,Maddur,80,64,63.4,15,207,12.484,77.0641
614495,Kaudle,Maddur,208,155,254.0,39,1427,12.7852,76.931
614514,Keelagatta,Maddur,125,91,116.0,12,440,12.7011,76.9992
614498,Kiranguru,Maddur,139,106,87.6,54,462,12.7769,76.9852
614523,Kodahalli,Maddur,29,19,36.9,0,381,12.696,77.0183
614588,Kodihalli,Maddur,45,38,52.0,98,101,12.6007,77.0616
614629,Kolageri,Maddur,96,84,62.1,10,781,12.51,77.1194
614528,Konasale,Maddur,44,36,42.4,9,842,12.655,76.9826
614613,Konkarebelluru,Maddur,39,34,42.8,49,378,12.5086,77.0893
614512,Koppa,Maddur,415,305,316.0,24,655,12.7063,76.9663
614552,Kosturu,Maddur,778,491,503.9,15,1464,12.7018,77.0448
614534,Kottanahalli,Maddur,16,15,12.8,25,407,12.6293,77.0311
614628,Kottipura,Maddur,60,53,47.9,13,63,12.5054,77.1144
614648,Kottipura,Maddur,46,38,48.4,41,110,12.5013,77.1277
614585,Kudangundi,Maddur,41,35,37.9,34,706,12.5624,77.0229
614544,Kundanakuppe,Maddur,22,17,12.1,55,277,12.7519,77.0415
614515,Kuntanahalli,Maddur,158,110,115.1,27,144,12.6895,76.9954
614625,Kyathagatta,Maddur,248,181,162.8,0,531,12.4982,77.0716
614543,Lingasamudra,Maddur,145,105,135.8,41,165,12.7581,77.045
614554,Machahalli,Maddur,59,54,44.7,61,341,12.6881,77.0645
614569,Madanayankanahalli,Maddur,239,165,194.8,34,386,12.6011,77.0919
614567,Madapura,Maddur,290,189,208.0,77,265,12.6222,77.1108
614615,Madara,Maddur,54,53,27.5,19,453,12.4954,76.9772
614630,Madarahalli,Maddur,71,60,83.9,89,362,12.4829,77.0847
803169,Maddur,Maddur,303,211,216.4,27,777,12.5866,77.0494
614580,Maddur,Maddur,35,31,37.4,14,316,12.5956,77.0337
614607,Malgaranahalli,Maddur,86,70,107.0,53,318,12.5418,77.0614
614546,Mallanakuppe,Maddur,153,110,91.8,86,226,12.7357,77.0532
614545,Mallanayakanahalli,Maddur,83,73,46.1,12,381,12.7423,77.0608
614502,Malligera,Maddur,117,71,78.7,99,249,12.7491,76.9254
614645,Manasigere,Maddur,123,97,109.1,76,502,12.4707,77.0633
614643,Manigere,Maddur,463,273,221.0,84,557,12.4639,77.0344
614560,Maradevanahalli,Maddur,144,104,94.7,53,183,12.6579,77.0896
614522,Maraliga,Maddur,106,87,82.3,20,1107,12.6743,77.0043
614504,Marangere,Maddur,49,34,49.9,6,300,12.7328,76.9453
614653,Melahalli,Maddur,5,5,7.3,100,162,12.4799,77.0356
614581,Mubbalagere,Maddur,58,37,32.7,0,158,12.5845,77.0253
614525,Mudagere,Maddur,217,154,177.9,71,237,12.6693,77.0315
614649,Mudiyanahalli,Maddur,216,167,142.1,9,314,12.4693,77.1044
614506,Mudya,Maddur,87,65,72.6,91,361,12.741,76.9756
614526,Mullahalli,Maddur,69,56,38.2,35,105,12.6688,77.0182
614596,N Y Doddi,Maddur,15,10,27.9,33,68,12.5579,77.1193
614547,Naganahalli,Maddur,49,38,50.4,47,198,12.7299,77.077
614601,Nagarakere,Maddur,137,100,110.3,66,371,12.5618,77.0529
614517,Nambinaya,Maddur,10,10,18.5,90,225,12.6993,76.9403
614532,Narasinganahalli,Maddur,209,167,159.8,90,315,12.6603,77.0335
614538,Navale,Maddur,58,45,79.9,17,478,12.7692,76.9995
614566,Nidaghatta,Maddur,117,88,95.0,20,311,12.6164,77.0919
614599,Nilakantanahalli,Maddur,203,152,147.7,73,295,12.5626,77.073
614524,Nilavagalu,Maddur,228,157,146.9,43,374,12.6772,77.0234
614597,Niyengardoddi,Maddur,47,33,35.9,19,64,12.557,77.1124
614536,Rampura,Maddur,44,30,29.2,0,181,12.6199,76.9902
614565,Rudnakshipura,Maddur,80,70,105.7,99,157,12.6112,77.0793
614617,Sabbanahalli,Maddur,198,128,168.0,64,328,12.4609,76.9523
614603,Sadalalu,Maddur,82,60,53.9,72,388,12.5428,77.012
614537,Shankanapura,Maddur,27,23,31.9,11,132,12.6177,77.0117
614635,Shetta,Maddur,289,163,147.8,10,455,12.472,76.9853
614579,Shivapura,Maddur,77,54,36.6,100,55,12.6052,77.0454
614619,Singatakere,Maddur,126,103,82.4,20,272,12.4898,76.9747
614501,Somanahalli,Maddur,3,3,3.3,0,212,12.7573,76.945
614578,Somanahalli,Maddur,237,174,159.0,0,364,12.612,77.0623
614606,Sompura,Maddur,10,10,11.4,20,59,12.551,77.0594
614507,Taggahalli,Maddur,263,186,168.4,28,577,12.7271,76.9868
614511,Taggalli Ballakere,Maddur,140,99,72.4,31,80,12.7142,76.9609
614508,Taggalli Ballakere,Maddur,39,34,43.2,26,262,12.7153,76.9717
614570,Taluru,Maddur,301,184,214.4,65,411,12.5937,77.0728
614500,Tarikere,Maddur,45,32,30.2,71,404,12.7555,76.963
614568,Tippuru,Maddur,328,210,282.9,59,296,12.6096,77.104
614624,Tore Chakanahalli,Maddur,18,15,14.2,83,185,12.5096,77.069
614647,Torebommanahalli,Maddur,126,116,126.4,46,337,12.4705,77.0963
614557,Toresettihalli,Maddur,99,82,103.8,45,265,12.6656,77.0461
614553,Tubinakere,Maddur,308,215,211.5,52,180,12.6785,77.0517
614602,Uppinakere,Maddur,187,142,113.5,33,181,12.556,77.0376
614519,Vaddara,Maddur,79,51,42.2,38,231,12.6685,76.9344
614573,Valagerehalli,Maddur,68,64,45.0,40,528,12.6023,77.0065
614587,Varahasandra,Maddur,42,36,43.4,0,96,12.5721,77.0591
614496,Yadavanahalli,Maddur,41,30,40.1,73,450,12.7867,76.9516
614640,Yaladahalli,Maddur,71,58,68.2,75,336,12.4606,77.0031
614558,Yaraganahalli,Maddur,394,297,349.8,73,307,12.6464,77.0514
614715,Agasanapura,Malavalli,1150,472,362.1,98,473,12.4256,77.1336
614744,Aladahalli,Malavalli,14,12,12.3,14,80,12.3844,77.1168
614708,Amruteswaranahalli,Malavalli,94,65,75.4,16,450,12.4301,77.0909
614706,Ankanahalli,Malavalli,50,45,44.4,42,479,12.3962,77.0857
614756,Ankanahalli,Malavalli,20,19,20.6,10,176,12.4538,77.1961
614725,Antharavalli,Malavalli,31,26,27.7,52,707,12.4392,77.1712
614743,Attuvanahalli,Malavalli,75,68,88.8,55,158,12.3981,77.1172
614693,Avverahalli,Malavalli,167,100,141.6,50,537,12.3242,77.0091
