vilcode11,village,taluk,parcels,farmers,extent_ha,irrigated_pct,village_area_ha,lat,lon
618327,Krishnapura,Hunsur,6,6,9.1,33,575,12.3954,76.4178
618443,Shiriyurunala,Hunsur,1,1,0.7,0,443,12.3974,76.4392
618585,Adaguru,Krishnarajanagara,13,11,23.3,8,1313,12.5188,76.429
618650,Aichanahalli,Krishnarajanagara,2,1,1.1,0,319,12.4198,76.2759
618680,Arakere,Krishnarajanagara,68,54,61.3,21,339,12.4118,76.3972
618587,Arjunahalli,Krishnarajanagara,2,2,2.4,100,451,12.5392,76.3787
618669,Bannikuppe,Krishnarajanagara,22,22,35.1,91,304,12.4462,76.4469
618682,Basavapatna,Krishnarajanagara,12,12,23.3,58,177,12.4027,76.4198
618590,Beeranahalli,Krishnarajanagara,18,15,17.5,0,76,12.514,76.3524
618644,Biranahalli,Krishnarajanagara,11,8,8.5,82,204,12.4551,76.3601
618579,Bommenahalli,Krishnarajanagara,1,1,0.7,100,281,12.5436,76.3696
618632,Byadarahalli Hanta,Krishnarajanagara,7,6,11.3,43,658,12.491,76.3425
618658,Chamalapura,Krishnarajanagara,2,2,3.0,100,272,12.4678,76.4218
618678,Chaukahalli,Krishnarajanagara,4,3,9.2,25,99,12.4282,76.3941
618677,Chaukahalli,Krishnarajanagara,61,44,37.9,8,259,12.4141,76.3986
618591,Chenga,Krishnarajanagara,6,5,2.9,0,101,12.5129,76.3492
618582,Chikkayaddara Gudi,Krishnarajanagara,3,2,3.0,33,271,12.5374,76.3627
618643,Chiranahalli,Krishnarajanagara,17,16,9.4,0,252,12.4602,76.379
618655,Degganahalli,Krishnarajanagara,9,9,12.7,0,302,12.52,76.4232
618578,Doddavaddaragudi,Krishnarajanagara,15,12,17.7,53,184,12.5523,76.3871
618681,Dornahalli,Krishnarajanagara,10,9,8.2,0,275,12.4075,76.4033
618581,Gandhanahalli,Krishnarajanagara,20,15,14.0,0,599,12.5133,76.3549
618662,Gorgundi,Krishnarajanagara,2,2,1.3,0,219,12.4655,76.4112
618592,Hampapura,Krishnarajanagara,108,75,79.7,0,568,12.4917,76.399
618683,Hangara  Boyinahalli,Krishnarajanagara,69,37,52.3,26,114,12.4042,76.4319
618684,Hangara  Boyinahalli,Krishnarajanagara,6,5,9.5,50,84,12.3985,76.4366
618576,Harumballi,Krishnarajanagara,122,78,89.0,90,336,12.5688,76.3733
618575,Hosa Agrahara,Krishnarajanagara,18,16,15.0,39,460,12.5607,76.3675
618676,Hosahalli,Krishnarajanagara,478,295,308.3,1,419,12.4148,76.4358
618661,Kaggere,Krishnarajanagara,23,21,20.1,48,386,12.4664,76.4161
618638,Kalahalli,Krishnarajanagara,15,13,12.9,27,585,12.4669,76.3574
618639,Kalahalli Kaval,Krishnarajanagara,2,2,7.0,50,40,12.4656,76.3592
618667,Kamenahalli,Krishnarajanagara,1,1,2.1,0,331,12.4357,76.4231
618583,Kanchinakere,Krishnarajanagara,41,13,23.7,83,287,12.5422,76.3797
618627,Kanchu Gara Koppalu,Krishnarajanagara,35,35,40.5,49,77,12.4698,76.3154
803193,Kantenahalli,Krishnarajanagara,14,9,16.5,14,347,12.4481,76.3805
618664,Katanalu,Krishnarajanagara,103,82,92.3,2,130,12.454,76.3858
618641,Katanalu,Krishnarajanagara,65,50,52.1,2,549,12.4587,76.3899
618626,Kesturu,Krishnarajanagara,9,9,12.3,11,1281,12.4692,76.3125
618633,Koppadi Hanta,Krishnarajanagara,32,24,51.6,9,346,12.4991,76.348
618674,Lalamdevanahalli,Krishnarajanagara,49,41,58.7,4,161,12.4308,76.4279
618645,Madavanahalli,Krishnarajanagara,24,19,24.4,0,336,12.452,76.3782
618628,Malali,Krishnarajanagara,20,19,22.1,0,541,12.4502,76.2939
618588,Manchinahalli,Krishnarajanagara,38,29,21.8,3,758,12.4896,76.4061
618651,Maragaudanahalli,Krishnarajanagara,2,2,3.1,100,375,12.4231,76.317
618652,Maragaudanahalli,Krishnarajanagara,5,5,5.7,60,290,12.4175,76.3052
618584,Maragaudanahalli,Krishnarajanagara,1,1,9.0,0,254,12.5556,76.4089
618672,Marchahalli,Krishnarajanagara,49,29,33.5,22,377,12.4258,76.4347
618631,Mavathur Hanta,Krishnarajanagara,6,5,1.7,50,295,12.4959,76.317
618665,Mudala Koppalu,Krishnarajanagara,4,4,5.9,0,220,12.4644,76.3965
939285,Ramanahalli,Krishnarajanagara,30,23,23.6,80,295,12.4382,76.4465
618670,Ramanahalli,Krishnarajanagara,17,17,33.1,0,649,12.4601,76.459
618593,Sanyasipura,Krishnarajanagara,25,23,27.5,0,234,12.4842,76.4026
618668,Satigrama,Krishnarajanagara,3,1,5.8,33,344,12.4337,76.4301
618647,Siddapura,Krishnarajanagara,9,9,6.6,0,511,12.4487,76.3187
618660,Southana Halli,Krishnarajanagara,2,1,1.5,100,274,12.4557,76.4425
618617,Srirampura,Krishnarajanagara,124,81,93.9,59,457,12.4919,76.3051
618657,Thippur,Krishnarajanagara,30,15,14.7,97,675,12.4863,76.4304
618727,Kesare,Mysuru,5,5,1.5,60,896,12.3719,76.6815
618826,Kuragalli,Mysuru,1,1,0.1,100,714,12.364,76.5908
618272,Abburu,Piriyapatna,5,5,11.0,0,264,12.3187,76.1165
618238,Alanahalli,Piriyapatna,14,12,9.5,7,368,12.3852,76.0168
618107,Amabalare,Piriyapatna,11,10,13.1,9,368,12.5052,76.0285
618270,Ankanahalli,Piriyapatna,40,34,52.2,72,451,12.3198,76.0889
618197,Arenahalli,Piriyapatna,44,42,78.4,39,408,12.417,76.1748
618160,Attigodu,Piriyapatna,19,9,51.0,0,493,12.4922,76.1523
618247,Ayarubidu,Piriyapatna,63,45,54.5,43,516,12.3491,75.9927
618207,Ayichanahalli,Piriyapatna,5,4,14.7,40,677,12.4142,76.125
618276,Ayichanahalli,Piriyapatna,1,1,3.6,0,271,12.3098,76.0965
618234,Basalapura,Piriyapatna,5,3,11.2,20,318,12.349,76.1406
618192,Bavalalu,Piriyapatna,2,2,7.3,0,180,12.448,76.2024
618264,Beguru,Piriyapatna,10,10,15.2,20,211,12.3202,76.0464
618179,Bekre,Piriyapatna,2,2,3.4,100,307,12.4299,76.0764
618250,Belatturu,Piriyapatna,22,14,46.3,0,317,12.3482,76.0449
618248,Bemmathi,Piriyapatna,7,6,9.2,43,260,12.3535,75.999
618171,Bettadpur,Piriyapatna,7,7,9.2,57,926,12.4756,76.0906
618198,Bhoganahalli,Piriyapatna,2,2,4.0,50,207,12.4167,76.1974
618132,Bylakuppe,Piriyapatna,4,4,8.5,100,244,12.4305,75.9907
618094,Chamarayanakote,Piriyapatna,4,4,4.9,0,527,12.5511,76.0054
618109,Chapparadahalli,Piriyapatna,1,1,1.5,0,333,12.5143,76.0631
618253,Chennenahalli,Piriyapatna,24,13,20.7,4,428,12.3378,76.0655
618114,Chikka Nerale,Piriyapatna,29,23,33.0,31,164,12.4848,76.0475
618168,Chikkamalli,Piriyapatna,69,22,39.8,20,226,12.4733,76.1507
618251,Chiranahalli,Piriyapatna,5,5,9.2,0,310,12.3496,76.0598
618122,Dindagadu,Piriyapatna,47,40,44.5,98,438,12.4797,75.9672
618212,Dodda Bellalu,Piriyapatna,5,5,6.2,0,662,12.3897,76.1609
618116,Dodda Nerale,Piriyapatna,18,13,23.8,61,496,12.4787,76.0441
