vilcode11,village,taluk,parcels,farmers,extent_ha,irrigated_pct,village_area_ha,lat,lon
626242,Abburu,Channapatna,931,465,272.8,43,674,12.697,77.1777
626274,Agrahara Valagerahalli,Channapatna,642,283,276.0,2,383,12.5743,77.1585
626278,Akkarhosahalli,Channapatna,37,26,37.6,32,143,12.5748,77.2004
626279,Akkur,Channapatna,500,249,179.6,60,336,12.562,77.1988
626304,Ambadahalli,Channapatna,316,143,88.5,3,196,12.5212,77.1882
626212,Anigere,Channapatna,328,141,112.3,23,283,12.6599,77.1307
626273,Ankusanahalli,Channapatna,251,147,99.4,16,623,12.5728,77.1434
626199,Aralapura,Channapatna,91,53,33.5,42,56,12.6817,77.0769
626276,Avverahalli,Channapatna,152,114,120.3,9,242,12.5631,77.1834
626316,Bachahalli,Channapatna,62,49,35.5,5,84,12.5248,77.2162
626321,Baichapura,Channapatna,6,4,7.2,0,76,12.5122,77.2329
626292,Ballapatna,Channapatna,44,31,24.5,2,156,12.5533,77.2184
626295,Banagahalli,Channapatna,74,59,50.6,1,241,12.5479,77.1935
626302,Bananthalli,Channapatna,447,250,166.7,4,281,12.5262,77.2047
626284,Bandurvalagerihalli,Channapatna,195,118,144.5,53,301,12.5822,77.2617
626283,Bandurvalagerihalli,Channapatna,21,14,5.4,0,78,12.5948,77.2563
626215,Belekere,Channapatna,31,26,34.2,39,103,12.6364,77.1166
626226,Belekere,Channapatna,17,17,12.2,76,334,12.6287,77.1319
626225,Belekere,Channapatna,4,4,13.5,100,82,12.6358,77.1286
626202,Bevuru,Channapatna,545,269,234.6,36,734,12.7146,77.1296
626194,Bhairanayakanahalli,Channapatna,135,87,95.8,16,122,12.731,77.1197
626195,Bhairanayakanahalli,Channapatna,47,30,19.9,0,186,12.7333,77.1132
626324,Bhairasettihalli,Channapatna,16,14,10.4,31,354,12.5615,77.2622
626252,Brahmanipura,Channapatna,189,85,54.6,2,406,12.648,77.249
626270,Brahmanipura,Channapatna,4,4,4.3,0,437,12.6328,77.2446
626269,Brahmanipura,Channapatna,91,62,56.5,0,176,12.6297,77.2414
626328,Buhalli,Channapatna,310,188,171.5,3,481,12.5653,77.2902
626330,Buksagara,Channapatna,100,69,59.8,31,171,12.5413,77.3186
626331,Buksagara,Channapatna,18,15,16.1,0,81,12.5355,77.3214
626206,Byadarahalli,Channapatna,230,139,133.2,7,251,12.6849,77.1233
626233,Chakkaluru,Channapatna,546,286,194.8,72,404,12.5938,77.1601
626220,Chakkere,Channapatna,109,84,79.9,20,431,12.6114,77.1628
803239,Channapatna Muncipality,Channapatna,338,201,121.2,46,372,12.6517,77.1944
626255,Channapatna Muncipality,Channapatna,20,18,25.5,5,160,12.6555,77.2191
938842,Channapatna Muncipality,Channapatna,214,135,80.5,5,281,12.6649,77.2166
