vilcode11,village,taluk,parcels,farmers,extent_ha,irrigated_pct,village_area_ha,lat,lon
610245,Gerehalli,Chiknayakanhalli,20,17,5.5,30,222,13.3401,76.5931
610247,Lakmagondanahalli,Chiknayakanhalli,1,1,0.7,100,196,13.3144,76.6282
610077,Mattighatta,Chiknayakanhalli,1,1,0.4,0,984,13.4173,76.4742
610256,Nagenahalli,Chiknayakanhalli,3,3,1.1,100,61,13.3253,76.6388
610248,Pankajana Halli,Chiknayakanhalli,2,1,0.7,100,235,13.3259,76.6379
610243,Pemmaladevihalli,Chiknayakanhalli,22,17,6.6,9,253,13.3355,76.5821
610045,Puradakatte,Chiknayakanhalli,3,3,5.0,0,333,13.4926,76.3979
610246,Tigalanahalli,Chiknayakanhalli,7,7,1.8,57,265,13.3246,76.5971
611959,Abbanakuppe,Gubbi,138,75,135.8,7,163,13.0987,76.9524
611831,Adagar,Gubbi,244,169,154.6,50,709,13.3193,76.9803
611878,Adagondanahalli,Gubbi,231,156,263.6,99,252,13.2613,76.8633
611765,Adalgere,Gubbi,220,151,151.1,84,313,13.3607,76.8224
611951,Adikekere,Gubbi,377,189,184.6,85,408,13.1016,76.9236
611663,Alalaghatta,Gubbi,344,224,244.8,41,423,13.4183,76.8309
611662,Alalaghatta,Gubbi,6,4,3.4,17,38,13.4209,76.8177
611882,Ambarapura,Gubbi,88,40,82.6,43,94,13.2835,76.8929
611811,Ammanagatta,Gubbi,480,243,362.5,19,820,13.3385,76.9147
611797,Ammanahalli,Gubbi,108,67,93.3,62,179,13.3172,76.8371
611615,Anehalli,Gubbi,300,188,220.2,90,1067,13.5228,76.7542
611924,Ankalakoppal,Gubbi,498,349,395.0,72,318,13.1335,76.9131
611776,Ankapura,Gubbi,248,180,137.7,73,165,13.3515,76.8487
611674,Ankasandra,Gubbi,258,161,288.5,0,565,13.533,76.892
611683,Anthapura,Gubbi,135,114,166.0,12,245,13.4581,76.9092
611650,Appanahalli,Gubbi,41,30,59.8,73,260,13.4421,76.777
611656,Arehalli,Gubbi,89,62,90.4,99,112,13.4413,76.853
611880,Aremaranahalli,Gubbi,106,76,87.5,98,268,13.2772,76.8668
611871,Attikatte,Gubbi,107,82,90.2,73,166,13.2642,76.8209
611930,Avverahalli,Gubbi,405,239,359.7,98,317,13.1614,76.9584
611818,Badakanapalya,Gubbi,58,39,71.0,17,63,13.3595,76.9821
611762,Badavanapalya,Gubbi,50,35,51.3,64,166,13.3484,76.7554
611795,Badigondhalli,Gubbi,32,27,37.4,100,156,13.3307,76.8445
611801,Bagur,Gubbi,58,45,50.8,17,316,13.3282,76.8802
611814,Baichenahalli,Gubbi,128,81,167.9,50,167,13.3813,76.9651
611868,Bairenahalli,Gubbi,60,49,53.2,2,132,13.2817,76.779
611819,Balanelapalya,Gubbi,40,26,37.3,100,47,13.3495,76.9942
611737,Bandanahalli,Gubbi,147,77,68.6,94,249,13.4005,76.8016
611798,Bandihalli,Gubbi,89,66,77.3,35,129,13.3116,76.845
611744,Basavapatna,Gubbi,69,55,60.9,65,269,13.389,76.8962
611848,Basthikatte Kaval,Gubbi,156,103,131.7,74,305,13.2633,76.9731
611881,Belavatta,Gubbi,405,229,236.4,13,563,13.285,76.8755
611918,Belur,Gubbi,260,113,133.8,72,203,13.1717,76.8693
611803,Benachigere,Gubbi,160,94,152.7,32,286,13.3034,76.8884
611907,Benakanagondi,Gubbi,238,156,193.3,84,149,13.1872,76.8344
611789,Bennehallada Kaval,Gubbi,28,20,19.0,89,303,13.3115,76.7178
611666,Bennehalli,Gubbi,154,96,102.9,16,96,13.4158,76.846
611665,Bennehalli,Gubbi,61,47,67.1,41,92,13.4214,76.8555
611872,Bennur,Gubbi,324,180,230.8,41,244,13.2737,76.8216
611667,Bettadahalli,Gubbi,146,110,135.8,82,186,13.4096,76.8479
611913,Bettegondanahalli,Gubbi,294,144,202.2,100,377,13.1865,76.8586
611735,Bhogasandra,Gubbi,236,154,213.2,58,516,13.3972,76.7881
611719,Bidare,Gubbi,324,230,270.8,97,668,13.3994,76.9375
611718,Bidare Ak,Gubbi,378,210,246.3,93,419,13.4032,76.9488
611794,Bidarehalla Kaval,Gubbi,60,45,43.3,80,1058,13.3199,76.8121
611778,Bidarehalla Kaval,Gubbi,138,88,176.8,78,287,13.3421,76.8358
611723,Bidareraja,Gubbi,96,56,71.4,83,438,13.3868,76.9082
611850,Bikkagudda Kaval,Gubbi,213,134,226.2,44,578,13.2468,76.9853
611849,Biligere,Gubbi,160,103,140.6,44,268,13.26,76.9926
611923,Bilinandi,Gubbi,260,121,159.9,63,360,13.1545,76.8338
611953,Biramanahalli,Gubbi,102,58,69.7,64,243,13.1142,76.9252
611922,Bochihalli,Gubbi,219,148,159.0,57,434,13.1711,76.8151
611619,Bodatimmanahalli,Gubbi,76,54,52.3,88,652,13.5751,76.8455
611752,Bommarasanahalli,Gubbi,320,228,349.1,77,1042,13.3743,76.803
611777,Bommenahalli,Gubbi,245,144,150.8,92,257,13.3406,76.8504
611726,Boragondanahalli,Gubbi,7,7,10.0,43,119,13.4053,76.9747
611956,Borappanahalli,Gubbi,72,55,83.0,82,624,13.1286,76.9402
611926,Bukkasagara,Gubbi,76,69,80.5,37,366,13.1717,76.9462
611900,Byadagere,Gubbi,223,159,156.8,63,413,13.21,76.8683
611702,Byadanakatte,Gubbi,111,80,102.2,41,144,13.4487,76.9332
