state,district,cycle,samples,n_low,n_med,n_high,p_low,p_med,p_high,k_low,k_med,k_high,oc_low,oc_med,oc_high,ph_acid,ph_neut,ph_alk,ec_saline,s_def,fe_def,zn_def,cu_def,b_def,mn_def
KARNATAKA,BAGALKOTE,2025-26,17932,57,42,1,13,45,42,11,62,27,59,31,10,0,92,8,3,32,93,71,2,28,20
KARNATAKA,BENGALURU URBAN,2025-26,2505,89,5,6,13,46,41,13,43,45,84,4,11,13,86,2,11,85,65,83,22,92,30
KARNATAKA,BENGALURU RURAL,2025-26,5306,97,3,0,16,35,49,25,44,31,88,10,2,22,78,0,5,81,61,67,12,95,18
KARNATAKA,BELAGAVI,2025-26,25028,87,13,0,9,33,59,11,32,56,82,14,4,3,80,17,4,37,70,69,15,90,48
KARNATAKA,BALLARI,2025-26,9813,37,61,2,20,59,21,13,55,31,35,44,21,0,85,15,2,89,84,50,0,85,0
KARNATAKA,BIDAR,2025-26,15177,24,74,2,9,86,5,0,5,95,16,58,26,0,99,1,1,49,31,18,0,36,4
KARNATAKA,VIJAYAPURA,2025-26,14470,100,0,0,1,15,84,2,25,73,95,5,0,0,99,1,1,93,98,76,6,92,44
KARNATAKA,CHAMARAJANAGARA,2025-26,9387,12,49,39,3,45,51,13,51,36,39,31,30,0,94,6,1,5,75,55,6,50,7
KARNATAKA,CHIKKAMAGALURU,2025-26,11046,75,25,0,6,15,78,16,38,45,41,25,35,13,82,5,0,72,20,52,4,79,6
KARNATAKA,CHITRADURGA,2025-26,15404,91,9,0,0,24,76,1,72,28,73,26,1,0,100,0,0,9,43,11,8,83,24
KARNATAKA,DAKSHINA KANNADA,2025-26,6963,92,8,0,86,11,3,34,50,16,1,14,85,20,80,0,0,44,17,29,2,76,19
KARNATAKA,DAVANGERE,2025-26,15187,4,90,6,0,13,87,1,34,65,11,20,68,0,100,0,0,0,67,22,0,18,2
KARNATAKA,DHARWAD,2025-26,12814,12,88,1,1,83,16,3,31,66,9,50,41,0,76,24,0,32,35,81,1,35,3
KARNATAKA,GADAG,2025-26,15652,2,98,0,1,93,5,0,8,92,3,96,1,0,90,10,1,14,72,51,16,18,43
KARNATAKA,KALABURAGI,2025-26,16596,98,2,0,0,1,99,0,0,100,98,2,0,0,100,0,0,0,100,98,0,45,0
KARNATAKA,HASSAN,2025-26,12071,1,96,3,0,6,94,2,84,15,5,74,21,4,96,0,0,3,96,95,48,11,66
KARNATAKA,HAVERI,2025-26,13188,31,68,1,1,60,39,11,74,15,23,52,25,7,92,1,0,0,85,81,2,68,1
KARNATAKA,KODAGU,2025-26,8213,51,42,7,14,35,51,5,86,9,51,30,19,7,93,0,0,20,2,52,0,21,19
KARNATAKA,KOLAR,2025-26,9384,92,8,0,1,15,84,28,60,13,98,2,0,1,99,0,0,29,1,45,1,30,0
KARNATAKA,KOPPAL,2025-26,14067,17,25,58,0,0,100,4,26,70,11,10,79,0,99,1,1,68,28,86,3,76,2
KARNATAKA,MANDYA,2025-26,9704,65,35,0,2,11,87,4,45,51,30,38,32,6,94,0,1,3,23,33,4,58,8
KARNATAKA,MYSURU,2025-26,11266,100,0,0,5,17,78,23,48,29,42,40,17,13,86,1,1,1,24,42,2,22,13
KARNATAKA,RAICHUR,2025-26,14626,100,0,0,0,97,3,0,100,0,60,40,0,0,99,1,100,1,100,100,1,100,0
KARNATAKA,SHIVAMOGGA,2025-26,10760,78,21,0,28,23,49,11,41,47,9,27,64,16,84,0,1,58,8,26,1,20,4
KARNATAKA,TUMAKURU,2025-26,19352,75,24,1,6,26,67,17,59,24,69,22,9,0,100,0,1,39,47,83,9,68,6
KARNATAKA,UDUPI,2025-26,7501,61,38,1,20,19,61,47,32,22,20,14,67,76,24,0,3,43,10,40,15,91,52
KARNATAKA,UTTARA KANNADA,2025-26,14359,80,20,0,14,46,39,49,35,15,10,22,68,22,78,0,6,24,5,39,3,75,7
KARNATAKA,CHIKKABALLAPURA,2025-26,10322,100,0,0,0,16,84,0,71,28,0,96,4,0,100,0,0,42,64,80,20,32,22
KARNATAKA,RAMANAGARA,2025-26,7606,24,76,0,7,23,69,34,40,26,37,49,14,6,93,0,0,73,42,66,7,92,18
KARNATAKA,YADGIR,2025-26,10355,57,42,1,1,24,75,1,13,87,44,48,8,0,97,3,3,5,66,54,1,44,3
KARNATAKA,VIJAYANAGAR,2025-26,12022,84,15,1,6,24,70,22,32,46,49,42,9,9,82,8,3,98,82,36,2,35,40
TAMIL NADU,COIMBATORE,2025-26,9200,98,2,0,12,81,7,0,4,96,79,15,6,0,92,8,2,2,45,4,1,81,18
TAMIL NADU,CUDDALORE,2025-26,17600,100,0,0,2,35,63,17,80,3,100,0,0,5,89,6,0,92,0,8,0,6,0
TAMIL NADU,DHARMAPURI,2025-26,9750,100,0,0,5,55,40,12,71,18,92,7,1,1,96,3,3,59,72,37,11,4,46
TAMIL NADU,DINDIGUL,2025-26,7373,98,1,0,41,40,18,1,25,74,100,0,0,3,94,2,0,66,26,0,0,95,4
TAMIL NADU,ERODE,2025-26,10997,100,0,0,20,79,1,0,10,90,83,17,0,1,97,2,0,54,73,22,1,0,59
TAMIL NADU,KANCHIPURAM,2025-26,7100,100,0,0,7,85,7,0,67,32,99,0,0,0,100,0,0,6,86,37,6,20,68
TAMIL NADU,KANNIYAKUMARI,2025-26,3994,80,20,0,11,21,68,20,64,16,56,40,4,29,71,0,0,18,1,2,0,95,0
TAMIL NADU,KARUR,2025-26,8497,100,0,0,17,54,30,3,16,81,94,6,0,0,92,8,3,42,64,90,5,72,17
TAMIL NADU,KRISHNAGIRI,2025-26,10999,100,0,0,21,27,53,20,51,29,84,12,4,2,97,1,1,14,11,45,3,46,12
TAMIL NADU,MADURAI,2025-26,12361,100,0,0,8,38,54,2,19,79,70,29,1,0,98,1,0,52,20,16,0,66,3
TAMIL NADU,NAGAPATTINAM,2025-26,10000,97,3,0,44,39,17,13,56,31,71,26,4,3,96,0,4,22,27,40,0,0,9
TAMIL NADU,NAMAKKAL,2025-26,12797,97,3,0,19,34,47,6,17,77,88,9,4,16,69,15,1,39,66,47,3,58,18
TAMIL NADU,PERAMBALUR,2025-26,7700,100,0,0,34,62,4,8,42,50,91,9,0,0,95,5,1,49,98,54,0,81,26
TAMIL NADU,PUDUKKOTTAI,2025-26,14203,99,0,0,43,51,6,14,72,14,99,1,0,2,97,1,1,26,39,23,0,22,0
TAMIL NADU,RAMANATHAPURAM,2025-26,12700,100,0,0,3,76,21,2,10,89,100,0,0,2,93,5,10,0,4,98,0,60,0
TAMIL NADU,SALEM,2025-26,14467,100,0,0,16,32,51,8,52,40,99,0,0,7,92,1,0,60,3,28,0,4,0
TAMIL NADU,SIVAGANGA,2025-26,12597,100,0,0,15,57,28,0,67,33,100,0,0,9,89,2,1,20,1,93,0,6,1
TAMIL NADU,THANJAVUR,2025-26,20499,100,0,0,72,18,10,24,49,27,63,30,7,2,97,1,0,58,33,61,4,75,68
TAMIL NADU,THE NILGIRIS,2025-26,1800,95,5,0,4,8,88,1,12,87,18,19,63,51,49,0,0,41,12,16,3,57,13
TAMIL NADU,THENI,2025-26,5849,100,0,0,12,58,30,1,5,94,100,0,0,10,86,4,2,100,60,54,0,96,16
TAMIL NADU,THIRUVALLUR,2025-26,14120,100,0,0,34,37,28,64,31,5,99,1,0,5,94,0,2,96,63,24,2,39,92
TAMIL NADU,THIRUVARUR,2025-26,14300,100,0,0,26,24,51,3,27,70,91,8,1,0,98,2,1,40,7,39,2,49,8
TAMIL NADU,TIRUCHIRAPPALLI,2025-26,11825,100,0,0,43,12,45,1,37,62,100,0,0,0,86,14,3,0,19,4,0,55,2
TAMIL NADU,TIRUNELVELI,2025-26,6447,84,16,0,20,31,49,14,37,49,51,39,11,3,90,7,5,56,37,50,5,61,14
