state,report_no,year,districts,pdf_url
Karnataka,AGR1691,2017,Kolar,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1691.pdf
Karnataka,AGR1693,2018,Haveri,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1693.pdf
Karnataka,AGR1697,2017,Bangalore Rural,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1697.pdf
Karnataka,AGR1682,2017,Kolar,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1682.pdf
Karnataka,AGR1675,2015,Gadag,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1675.pdf
Karnataka,AGR1661,2017,Chitradurga,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1661.pdf
Karnataka,AGR1657,2017,Kolar,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1657.pdf
Karnataka,AGR1646,2015,"Dharwad,Haveri",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1646.pdf
Karnataka,AGR1637,2018,Kolar,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1637.pdf
Karnataka,AGR1636,2016,Bangalore urban,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1636.pdf
Karnataka,AGR1631,2014,"Gadag,Koppal,Bellary",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1631.pdf
Karnataka,AGR1617,2014,"Gadag,Bellary",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1617.pdf
Karnataka,AGR1608,2012,"Raichur,Bellary",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1608.pdf
Karnataka,AGR1598,2016,"Bangalore Rural,Kolar",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1598.pdf
Karnataka,AGR1589,2012,Bellary,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1589.pdf
Karnataka,AGR1572,2016,Kolar,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1572.pdf
Karnataka,AGR1560,2015,Gadag,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1560.pdf
Karnataka,AGR1557,2013,"Chikmagalur,Chitradurga,Davanagere",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1557.pdf
Karnataka,AGR1550,2014,"Bagalkot,Gadag,Koppal",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1550.pdf
Karnataka,AGR1547,2013,Dharwad,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1547.pdf
Karnataka,AGR1545,2013,"Belgaum,Dharwad",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1545.pdf
Karnataka,AGR1526,2013,"Davanagere,Shimoga",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1526.pdf
Karnataka,AGR1481,2012,"Gadag,Koppal",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1481.pdf
Karnataka,AGR1480,2012,"Dharwad,Gadag",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1480.pdf
Karnataka,AGR1479,2012,"Bagalkot,Gadag",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1479.pdf
Karnataka,AGR1461,2013,Bellary,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1461.pdf
Karnataka,AGR1460,2011,"Dharwad,Haveri,Gadag",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1460.pdf
Karnataka,AGR1455,2011,"Dharwad,Haveri",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1455.pdf
Karnataka,AGR1445,2011,Dharwad,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1445.pdf
Karnataka,AGR1381,2005,"Davanagere,Haveri,Shimoga",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1381.pdf
Karnataka,AGR1380,2006,Gulbarga,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1380.pdf
Karnataka,AGR1372,2005,Gulbarga,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1372.pdf
Karnataka,AGR1368,2005,Gulbarga,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1368.pdf
Karnataka,AGR1357,2005,Gulbarga,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1357.pdf
Karnataka,AGR1348,2004,"Raichur,Yadgir",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1348.pdf
Karnataka,AGR1343,2004,Yadgir,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1343.pdf
Karnataka,AGR1341,2004,"Bagalkot,Dharwad,Gadag",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1341.pdf
Karnataka,AGR1339,2004,Bidar,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1339.pdf
Karnataka,AGR1338,2004,"Raichur,Yadgir",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1338.pdf
Karnataka,AGR1331,2003,Raichur,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1331.pdf
Karnataka,AGR1322,2002,"Raichur,Yadgir",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1322.pdf
Karnataka,AGR1320,2002,"Dharwad,Gadag",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1320.pdf
Karnataka,AGR1317,2004,Raichur,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1317.pdf
Karnataka,AGR1315,1999,Raichur,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1315.pdf
Karnataka,AGR1311,2002,Raichur,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1311.pdf
Karnataka,AGR1306,2002,Bidar,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1306.pdf
Karnataka,AGR1305,2002,"Bagalkot,Raichur",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1305.pdf
Karnataka,AGR1302,2002,Raichur,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1302.pdf
Karnataka,AGR1301,2000,"Bagalkot,Bijapur,Raichur",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1301.pdf
Karnataka,AGR1295,2000,Raichur,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1295.pdf
Karnataka,AGR1292,2000,Raichur,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1292.pdf
Karnataka,AGR1283,2001,"Bagalkot,Koppal",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1283.pdf
Karnataka,AGR1276,1999,"Bijapur,Gulbarga,Yadgir",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1276.pdf
Karnataka,AGR1268,2001,Ramanagara,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1268.pdf
Karnataka,AGR1255,2000,Raichur,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1255.pdf
Karnataka,AGR1254,1999,Gulbarga,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1254.pdf
Karnataka,AGR1227,1999,"Bijapur,Gulbarga",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1227.pdf
Karnataka,AGR1214,1998,"Belgaum,Bijapur",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1214.pdf
Karnataka,AGR1213,1998,"Gulbarga,Yadgir",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1213.pdf
Karnataka,AGR1132,1993,Gulbarga,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1132.pdf
Karnataka,AGR1125,1993,Bidar,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1125.pdf
Karnataka,AGR1123,1993,Gulbarga,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1123.pdf
Karnataka,AGR1122,1994,Bidar,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1122.pdf
Karnataka,AGR1115,1993,Gulbarga,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1115.pdf
Karnataka,AGR1095,1993,Gulbarga,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1095.pdf
Karnataka,AGR1094,1992,Gulbarga,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1094.pdf
Karnataka,AGR1083,1993,Raichur,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1083.pdf
Karnataka,AGR1041,1992,Gulbarga,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1041.pdf
Karnataka,AGR1018,1992,Yadgir,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1018.pdf
Karnataka,AGR1006,1992,Belgaum,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1006.pdf
Karnataka,AGR1005,1991,"Bellary,Gadag,Koppal",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1005.pdf
Karnataka,AGR1003,1991,Belgaum,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1003.pdf
Karnataka,AGR1002,1991,Belgaum,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_1002.pdf
Karnataka,AGR0996,1986,"Gadag,Koppal",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_996.pdf
Karnataka,AGR0995,1990,"Bellary,Gadag,Haveri",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_995.pdf
Karnataka,AGR0992,1990,Gadag,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_992.pdf
Karnataka,AGR0991,1991,Belgaum,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_991.pdf
Karnataka,AGR0986,1991,"Gulbarga,Yadgir",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_986.pdf
Karnataka,AGR0985,1989,"Bellary,Davanagere",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_985.pdf
Karnataka,AGR0984,1990,Haveri,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_984.pdf
Karnataka,AGR0983,1988,Koppal,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_983.pdf
Karnataka,AGR0977,1989,"Bellary,Haveri",https://slusi.dacnet.nic.in/dss/dssabstracts/dss_977.pdf
Karnataka,AGR0976,1990,Haveri,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_976.pdf
Karnataka,AGR0955,1986,Koppal,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_955.pdf
Karnataka,AGR0954,1990,Haveri,https://slusi.dacnet.nic.in/dss/dssabstracts/dss_954.pdf
